HomeworkID,GraderUserID,GradeeUserID,peerGrade,teacherGrade
-4073862762506469864,1844608230421413993,2742154193710460114,10,10
-4073862762506469864,-2169686844198929163,2742154193710460114,9,10
-4073862762506469864,2002062879380865581,2742154193710460114,10,10
-4073862762506469864,-1525333662076701679,-3647384257269818890,10,7
-4073862762506469864,3445745109755878762,-3647384257269818890,10,7
-4073862762506469864,5917387671955996223,-3647384257269818890,10,7
-4073862762506469864,-6983807543281290408,1844608230421413993,10,9
-4073862762506469864,-1385289962606463072,1844608230421413993,10,9
-4073862762506469864,-8900131687252597939,1844608230421413993,10,9
-4073862762506469864,2742154193710460114,-1972809236505201010,10,7
-4073862762506469864,6924736541418224011,-1972809236505201010,10,7
-4073862762506469864,7264956960216467446,-1972809236505201010,10,7
-4073862762506469864,-270344155591396250,2555942040967744508,10,9
-4073862762506469864,-3912453616061111970,2555942040967744508,10,9
-4073862762506469864,-1525333662076701679,2555942040967744508,10,9
-4073862762506469864,141088287878658170,8418366736930961688,10,10
-4073862762506469864,-8143421223879742737,8418366736930961688,10,10
-4073862762506469864,5520827872660497746,8418366736930961688,10,10
-4073862762506469864,-556415562345897616,141088287878658170,10,6
-4073862762506469864,-7070523509046563665,141088287878658170,10,6
-4073862762506469864,-1938363621127859261,141088287878658170,10,6
-4073862762506469864,-3912453616061111970,-8578647467276886637,10,10
-4073862762506469864,-7967870590291813354,-8578647467276886637,10,10
-4073862762506469864,5587980115346396328,-8578647467276886637,9,10
-4073862762506469864,8810648034808895395,5257539220866229772,10,10
-4073862762506469864,-8578647467276886637,5257539220866229772,10,10
-4073862762506469864,7495251544494305971,5257539220866229772,10,10
-4073862762506469864,-8578647467276886637,-7808699374651042728,10,9
-4073862762506469864,7495251544494305971,-7808699374651042728,10,9
-4073862762506469864,3406049920092642956,-7808699374651042728,9,9
-4073862762506469864,-556415562345897616,1792578164464116604,10,10
-4073862762506469864,-5473139041039906612,1792578164464116604,10,10
-4073862762506469864,7738856873432851065,1792578164464116604,10,10
-4073862762506469864,5257539220866229772,-556415562345897616,8,8
-4073862762506469864,-5721364805573445275,-556415562345897616,10,8
-4073862762506469864,-2953593075231461091,-556415562345897616,10,8
-4073862762506469864,-5392023755706927046,1009578924098033148,10,10
-4073862762506469864,-1385289962606463072,1009578924098033148,10,10
-4073862762506469864,6383201905715805253,1009578924098033148,10,10
-4073862762506469864,-7808699374651042728,-1385289962606463072,10,10
-4073862762506469864,-722082023526633488,-1385289962606463072,10,10
-4073862762506469864,7738856873432851065,-1385289962606463072,10,10
-4073862762506469864,-772281997610945849,537050156120794325,10,10
-4073862762506469864,-1966818366925799849,537050156120794325,10,10
-4073862762506469864,8418366736930961688,537050156120794325,10,10
-4073862762506469864,1844608230421413993,-7967870590291813354,10,3
-4073862762506469864,-2169686844198929163,-7967870590291813354,10,3
-4073862762506469864,853743625592045201,-7967870590291813354,10,3
-4073862762506469864,-3712014780464311445,-270344155591396250,10,10
-4073862762506469864,6230254325532358536,-270344155591396250,10,10
-4073862762506469864,-3647384257269818890,-270344155591396250,10,10
-4073862762506469864,-3712014780464311445,3445745109755878762,10,10
-4073862762506469864,1844608230421413993,3445745109755878762,10,10
-4073862762506469864,853743625592045201,3445745109755878762,8,10
-4073862762506469864,141088287878658170,-995997108840649446,7,10
-4073862762506469864,3828558232244985353,-995997108840649446,10,10
-4073862762506469864,5520827872660497746,-995997108840649446,10,10
-4073862762506469864,-995997108840649446,6924736541418224011,9,7
-4073862762506469864,7348563972473194791,6924736541418224011,8,7
-4073862762506469864,1651427780072336246,6924736541418224011,7,7
-4073862762506469864,-270344155591396250,-5015318438922990110,3,2
-4073862762506469864,-1525333662076701679,-5015318438922990110,1,2
-4073862762506469864,5917387671955996223,-5015318438922990110,4,2
